Preço das ações:,,,Valor dos dividendos:,,,,,Taxa de câmbio:,
,,,,,,,,,
,,,,,,,,,
Data,Abertura,,Data,Pagamento por papel,,,,Data,Cotação
01/01/93,"12,94",,01/01/93,"0,00",,,,01/01/93,"0,01"
01/02/93,"13,00",,01/02/93,"0,00",,,,01/02/93,"0,01"
01/03/93,"13,69",,01/03/93,"0,54",,,,01/03/93,"0,01"
01/04/93,"12,88",,01/04/93,"0,00",,,,01/04/93,"0,01"
01/05/93,"12,28",,01/05/93,"0,00",,,,01/05/93,"0,01"
01/06/93,"13,31",,01/06/93,"0,54",,,,01/06/93,"0,02"
01/07/93,"12,41",,01/07/93,"0,00",,,,01/07/93,"0,02"
01/08/93,"11,09",,01/08/93,"0,00",,,,01/08/93,"0,03"
01/09/93,"11,44",,01/09/93,"0,25",,,,01/09/93,"0,04"
01/10/93,"10,53",,01/10/93,"0,00",,,,01/10/93,"0,05"
01/11/93,"11,50",,01/11/93,"0,00",,,,01/11/93,"0,07"
01/12/93,"13,69",,01/12/93,"0,25",,,,01/12/93,"0,12"
01/01/94,"14,22",,01/01/94,"0,00",,,,01/01/94,"0,12"
01/02/94,"14,22",,01/02/94,"0,00",,,,01/02/94,"0,20"
01/03/94,"13,22",,01/03/94,"0,25",,,,01/03/94,"0,23"
01/04/94,"13,25",,01/04/94,"0,00",,,,01/04/94,"0,37"
01/05/94,"14,38",,01/05/94,"0,00",,,,01/05/94,"0,52"
01/06/94,"15,75",,01/06/94,"0,25",,,,01/06/94,"0,76"
01/07/94,"14,75",,01/07/94,"0,00",,,,01/07/94,"0,94"
01/08/94,"15,47",,01/08/94,"0,00",,,,01/08/94,"0,94"
01/09/94,"16,72",,01/09/94,"0,25",,,,01/09/94,"0,89"
01/10/94,"17,34",,01/10/94,"0,00",,,,01/10/94,"0,85"
01/11/94,"18,59",,01/11/94,"0,00",,,,01/11/94,"0,84"
01/12/94,"17,66",,01/12/94,"0,25",,,,01/12/94,"0,85"
01/01/95,"18,38",,01/01/95,"0,00",,,,01/01/95,"0,84"
01/02/95,"18,09",,01/02/95,"0,00",,,,01/02/95,"0,84"
01/03/95,"18,78",,01/03/95,"0,25",,,,01/03/95,"0,85"
01/04/95,"20,56",,01/04/95,"0,00",,,,01/04/95,"0,90"
01/05/95,"23,47",,01/05/95,"0,00",,,,01/05/95,"0,92"
01/06/95,"23,38",,01/06/95,"0,25",,,,01/06/95,"0,91"
01/07/95,"24,06",,01/07/95,"0,00",,,,01/07/95,"0,92"
01/08/95,"27,28",,01/08/95,"0,00",,,,01/08/95,"0,93"
01/09/95,"25,69",,01/09/95,"0,25",,,,01/09/95,"0,95"
01/10/95,"23,75",,01/10/95,"0,00",,,,01/10/95,"0,95"
01/11/95,"24,31",,01/11/95,"0,00",,,,01/11/95,"0,96"
01/12/95,"24,25",,01/12/95,"0,25",,,,01/12/95,"0,97"
01/01/96,"22,84",,01/01/96,"0,00",,,,01/01/96,"0,97"
01/02/96,"27,19",,01/02/96,"0,00",,,,01/02/96,"0,98"
01/03/96,"30,41",,01/03/96,"0,25",,,,01/03/96,"0,98"
01/04/96,"28,03",,01/04/96,"0,00",,,,01/04/96,"0,99"
01/05/96,"26,94",,01/05/96,"0,00",,,,01/05/96,"0,99"
01/06/96,"26,59",,01/06/96,"0,35",,,,01/06/96,"1,00"
01/07/96,"24,81",,01/07/96,"0,00",,,,01/07/96,"1,00"
01/08/96,"27,00",,01/08/96,"0,00",,,,01/08/96,"1,01"
01/09/96,"28,31",,01/09/96,"0,35",,,,01/09/96,"1,02"
01/10/96,"31,00",,01/10/96,"0,00",,,,01/10/96,"1,02"
01/11/96,"32,22",,01/11/96,"0,00",,,,01/11/96,"1,03"
01/12/96,"39,91",,01/12/96,"0,35",,,,01/12/96,"1,03"
01/01/97,"38,44",,01/01/97,"0,00",,,,01/01/97,"1,04"
01/02/97,"39,34",,01/02/97,"0,00",,,,01/02/97,"1,05"
01/03/97,"35,94",,01/03/97,"0,35",,,,01/03/97,"1,05"
01/04/97,"34,25",,01/04/97,"0,00",,,,01/04/97,"1,06"
01/05/97,"40,12",,01/05/97,"0,00",,,,01/05/97,"1,06"
01/06/97,"43,88",,01/06/97,"0,40",,,,01/06/97,"1,07"
01/07/97,"45,12",,01/07/97,"0,00",,,,01/07/97,"1,08"
01/08/97,"52,75",,01/08/97,"0,00",,,,01/08/97,"1,08"
01/09/97,"50,69",,01/09/97,"0,20",,,,01/09/97,"1,09"
01/10/97,"53,06",,01/10/97,"0,00",,,,01/10/97,"1,10"
01/11/97,"49,56",,01/11/97,"0,00",,,,01/11/97,"1,10"
01/12/97,"55,00",,01/12/97,"0,20",,,,01/12/97,"1,11"
01/01/98,"52,25",,01/01/98,"0,00",,,,01/01/98,"1,12"
01/02/98,"50,00",,01/02/98,"0,00",,,,01/02/98,"1,12"
01/03/98,"52,09",,01/03/98,"0,20",,,,01/03/98,"1,13"
01/04/98,"51,94",,01/04/98,"0,00",,,,01/04/98,"1,14"
01/05/98,"57,97",,01/05/98,"0,00",,,,01/05/98,"1,14"
01/06/98,"58,69",,01/06/98,"0,22",,,,01/06/98,"1,15"
01/07/98,"58,00",,01/07/98,"0,00",,,,01/07/98,"1,16"
01/08/98,"67,00",,01/08/98,"0,00",,,,01/08/98,"1,16"
01/09/98,"56,50",,01/09/98,"0,22",,,,01/09/98,"1,18"
01/10/98,"62,53",,01/10/98,"0,00",,,,01/10/98,"1,18"
01/11/98,"74,22",,01/11/98,"0,00",,,,01/11/98,"1,19"
01/12/98,"81,75",,01/12/98,"0,22",,,,01/12/98,"1,20"
01/01/99,"92,50",,01/01/99,"0,00",,,,01/01/99,"1,22"
01/02/99,"92,25",,01/02/99,"0,00",,,,01/02/99,"2,08"
01/03/99,"84,75",,01/03/99,"0,22",,,,01/03/99,"1,97"
01/04/99,"88,66",,01/04/99,"0,00",,,,01/04/99,"1,72"
01/05/99,"104,00",,01/05/99,"0,00",,,,01/05/99,"1,67"
01/06/99,"113,62",,01/06/99,"0,24",,,,01/06/99,"1,72"
01/07/99,"130,00",,01/07/99,"0,00",,,,01/07/99,"1,75"
01/08/99,"124,00",,01/08/99,"0,00",,,,01/08/99,"1,80"
01/09/99,"125,62",,01/09/99,"0,12",,,,01/09/99,"1,92"
01/10/99,"121,00",,01/10/99,"0,00",,,,01/10/99,"1,94"
01/11/99,"98,50",,01/11/99,"0,00",,,,01/11/99,"1,95"
01/12/99,"102,56",,01/12/99,"0,12",,,,01/12/99,"1,92"
01/01/00,"112,44",,01/01/00,"0,00",,,,01/01/00,"1,80"
01/02/00,"112,38",,01/02/00,"0,00",,,,01/02/00,"1,78"
01/03/00,"102,00",,01/03/00,"0,12",,,,01/03/00,"1,77"
01/04/00,"120,00",,01/04/00,"0,00",,,,01/04/00,"1,74"
01/05/00,"112,50",,01/05/00,"0,00",,,,01/05/00,"1,80"
01/06/00,"107,56",,01/06/00,"0,13",,,,01/06/00,"1,82"
01/07/00,"108,75",,01/07/00,"0,00",,,,01/07/00,"1,80"
01/08/00,"112,00",,01/08/00,"0,00",,,,01/08/00,"1,77"
01/09/00,"133,06",,01/09/00,"0,13",,,,01/09/00,"1,82"
01/10/00,"112,62",,01/10/00,"0,00",,,,01/10/00,"1,84"
01/11/00,"98,44",,01/11/00,"0,00",,,,01/11/00,"1,90"
01/12/00,"94,44",,01/12/00,"0,13",,,,01/12/00,"1,98"
01/01/01,"84,50",,01/01/01,"0,00",,,,01/01/01,"1,95"
01/02/01,"112,40",,01/02/01,"0,00",,,,01/02/01,"1,97"
01/03/01,"99,30",,01/03/01,"0,13",,,,01/03/01,"2,05"
01/04/01,"97,45",,01/04/01,"0,00",,,,01/04/01,"2,15"
01/05/01,"115,85",,01/05/01,"0,00",,,,01/05/01,"2,20"
01/06/01,"112,50",,01/06/01,"0,14",,,,01/06/01,"2,38"
01/07/01,"113,50",,01/07/01,"0,00",,,,01/07/01,"2,32"
01/08/01,"105,35",,01/08/01,"0,00",,,,01/08/01,"2,48"
01/09/01,"100,15",,01/09/01,"0,14",,,,01/09/01,"2,57"
01/10/01,"91,72",,01/10/01,"0,00",,,,01/10/01,"2,69"
01/11/01,"107,25",,01/11/01,"0,00",,,,01/11/01,"2,67"
01/12/01,"114,80",,01/12/01,"0,14",,,,01/12/01,"2,49"
01/01/02,"120,60",,01/01/02,"0,00",,,,01/01/02,"2,31"
01/02/02,"107,64",,01/02/02,"0,00",,,,01/02/02,"2,41"
01/03/02,"98,60",,01/03/02,"0,14",,,,01/03/02,"2,36"
01/04/02,"104,00",,01/04/02,"0,00",,,,01/04/02,"2,33"
01/05/02,"83,85",,01/05/02,"0,00",,,,01/05/02,"2,36"
01/06/02,"80,75",,01/06/02,"0,15",,,,01/06/02,"2,52"
01/07/02,"72,01",,01/07/02,"0,00",,,,01/07/02,"2,84"
01/08/02,"70,40",,01/08/02,"0,00",,,,01/08/02,"3,45"
01/09/02,"74,20",,01/09/02,"0,15",,,,01/09/02,"3,01"
01/10/02,"59,20",,01/10/02,"0,00",,,,01/10/02,"3,74"
01/11/02,"78,90",,01/11/02,"0,00",,,,01/11/02,"3,62"
01/12/02,"88,60",,01/12/02,"0,15",,,,01/12/02,"3,56"
01/01/03,"78,80",,01/01/03,"0,00",,,,01/01/03,"3,54"
01/02/03,"78,20",,01/02/03,"0,00",,,,01/02/03,"3,50"
01/03/03,"78,90",,01/03/03,"0,15",,,,01/03/03,"3,57"
01/04/03,"78,50",,01/04/03,"0,00",,,,01/04/03,"3,37"
01/05/03,"85,30",,01/05/03,"0,00",,,,01/05/03,"2,91"
01/06/03,"89,00",,01/06/03,"0,16",,,,01/06/03,"2,97"
01/07/03,"81,40",,01/07/03,"0,00",,,,01/07/03,"2,84"
01/08/03,"81,15",,01/08/03,"0,00",,,,01/08/03,"2,96"
01/09/03,"82,40",,01/09/03,"0,16",,,,01/09/03,"2,98"
01/10/03,"88,75",,01/10/03,"0,00",,,,01/10/03,"2,89"
01/11/03,"89,90",,01/11/03,"0,00",,,,01/11/03,"2,87"
01/12/03,"90,90",,01/12/03,"0,16",,,,01/12/03,"2,94"
01/01/04,"92,86",,01/01/04,"0,00",,,,01/01/04,"2,90"
01/02/04,"99,15",,01/02/04,"0,00",,,,01/02/04,"2,93"
01/03/04,"96,50",,01/03/04,"0,16",,,,01/03/04,"2,90"
01/04/04,"91,67",,01/04/04,"0,00",,,,01/04/04,"2,89"
01/05/04,"88,13",,01/05/04,"0,00",,,,01/05/04,"2,93"
01/06/04,"88,00",,01/06/04,"0,18",,,,01/06/04,"3,19"
01/07/04,"88,28",,01/07/04,"0,00",,,,01/07/04,"3,09"
01/08/04,"86,87",,01/08/04,"0,00",,,,01/08/04,"3,04"
01/09/04,"84,05",,01/09/04,"0,18",,,,01/09/04,"2,93"
01/10/04,"85,95",,01/10/04,"0,00",,,,01/10/04,"2,86"
01/11/04,"89,33",,01/11/04,"0,00",,,,01/11/04,"2,86"
01/12/04,"94,50",,01/12/04,"0,18",,,,01/12/04,"2,72"
01/01/05,"98,97",,01/01/05,"0,00",,,,01/01/05,"2,66"
01/02/05,"93,67",,01/02/05,"0,00",,,,01/02/05,"2,61"
01/03/05,"92,64",,01/03/05,"0,18",,,,01/03/05,"2,60"
01/04/05,"91,49",,01/04/05,"0,00",,,,01/04/05,"2,67"
01/05/05,"76,88",,01/05/05,"0,00",,,,01/05/05,"2,53"
01/06/05,"75,57",,01/06/05,"0,20",,,,01/06/05,"2,40"
01/07/05,"74,30",,01/07/05,"0,00",,,,01/07/05,"2,34"
01/08/05,"83,00",,01/08/05,"0,00",,,,01/08/05,"2,39"
01/09/05,"80,16",,01/09/05,"0,20",,,,01/09/05,"2,36"
01/10/05,"80,22",,01/10/05,"0,00",,,,01/10/05,"2,24"
01/11/05,"81,85",,01/11/05,"0,00",,,,01/11/05,"2,25"
01/12/05,"89,15",,01/12/05,"0,20",,,,01/12/05,"2,20"
01/01/06,"82,45",,01/01/06,"0,00",,,,01/01/06,"2,33"
01/02/06,"80,90",,01/02/06,"0,00",,,,01/02/06,"2,21"
01/03/06,"80,20",,01/03/06,"0,20",,,,01/03/06,"2,13"
01/04/06,"82,72",,01/04/06,"0,00",,,,01/04/06,"2,17"
01/05/06,"82,59",,01/05/06,"0,00",,,,01/05/06,"2,09"
01/06/06,"79,89",,01/06/06,"0,30",,,,01/06/06,"2,32"
01/07/06,"77,54",,01/07/06,"0,00",,,,01/07/06,"2,16"
01/08/06,"76,65",,01/08/06,"0,00",,,,01/08/06,"2,18"
01/09/06,"81,13",,01/09/06,"0,30",,,,01/09/06,"2,15"
01/10/06,"81,76",,01/10/06,"0,00",,,,01/10/06,"2,17"
01/11/06,"92,50",,01/11/06,"0,00",,,,01/11/06,"2,14"
01/12/06,"91,90",,01/12/06,"0,30",,,,01/12/06,"2,16"
01/01/07,"97,18",,01/01/07,"0,00",,,,01/01/07,"2,14"
01/02/07,"98,97",,01/02/07,"0,00",,,,01/02/07,"2,12"
01/03/07,"90,25",,01/03/07,"0,30",,,,01/03/07,"2,12"
01/04/07,"94,51",,01/04/07,"0,00",,,,01/04/07,"2,06"
01/05/07,"102,06",,01/05/07,"0,00",,,,01/05/07,"2,04"
01/06/07,"106,62",,01/06/07,"0,40",,,,01/06/07,"1,93"
01/07/07,"105,39",,01/07/07,"0,00",,,,01/07/07,"1,93"
01/08/07,"110,39",,01/08/07,"0,00",,,,01/08/07,"1,88"
01/09/07,"116,34",,01/09/07,"0,40",,,,01/09/07,"1,96"
01/10/07,"117,61",,01/10/07,"0,00",,,,01/10/07,"1,83"
01/11/07,"115,50",,01/11/07,"0,00",,,,01/11/07,"1,74"
01/12/07,"105,55",,01/12/07,"0,40",,,,01/12/07,"1,79"
01/01/08,"108,99",,01/01/08,"0,00",,,,01/01/08,"1,78"
01/02/08,"107,16",,01/02/08,"0,00",,,,01/02/08,"1,76"
01/03/08,"113,86",,01/03/08,"0,40",,,,01/03/08,"1,69"
01/04/08,"115,20",,01/04/08,"0,00",,,,01/04/08,"1,76"
01/05/08,"121,06",,01/05/08,"0,00",,,,01/05/08,"1,66"
01/06/08,"128,49",,01/06/08,"0,50",,,,01/06/08,"1,63"
01/07/08,"117,50",,01/07/08,"0,00",,,,01/07/08,"1,60"
01/08/08,"128,52",,01/08/08,"0,00",,,,01/08/08,"1,56"
01/09/08,"122,87",,01/09/08,"0,50",,,,01/09/08,"1,64"
01/10/08,"115,51",,01/10/08,"0,00",,,,01/10/08,"1,90"
01/11/08,"92,64",,01/11/08,"0,00",,,,01/11/08,"2,16"
01/12/08,"80,95",,01/12/08,"0,50",,,,01/12/08,"2,30"
01/01/09,"83,89",,01/01/09,"0,00",,,,01/01/09,"2,33"
01/02/09,"90,60",,01/02/09,"0,00",,,,01/02/09,"2,32"
01/03/09,"91,17",,01/03/09,"0,50",,,,01/03/09,"2,39"
01/04/09,"96,13",,01/04/09,"0,00",,,,01/04/09,"2,32"
01/05/09,"103,78",,01/05/09,"0,00",,,,01/05/09,"2,19"
01/06/09,"106,94",,01/06/09,"0,55",,,,01/06/09,"1,97"
01/07/09,"105,00",,01/07/09,"0,00",,,,01/07/09,"1,95"
01/08/09,"118,88",,01/08/09,"0,00",,,,01/08/09,"1,87"
01/09/09,"117,67",,01/09/09,"0,55",,,,01/09/09,"1,88"
01/10/09,"119,39",,01/10/09,"0,00",,,,01/10/09,"1,77"
01/11/09,"120,77",,01/11/09,"0,00",,,,01/11/09,"1,76"
01/12/09,"127,29",,01/12/09,"0,55",,,,01/12/09,"1,75"
01/01/10,"131,18",,01/01/10,"0,00",,,,01/01/10,"1,73"
01/02/10,"123,23",,01/02/10,"0,00",,,,01/02/10,"1,87"
01/03/10,"127,50",,01/03/10,"0,55",,,,01/03/10,"1,81"
01/04/10,"128,95",,01/04/10,"0,00",,,,01/04/10,"1,78"
01/05/10,"129,39",,01/05/10,"0,00",,,,01/05/10,"1,74"
01/06/10,"124,69",,01/06/10,"0,65",,,,01/06/10,"1,82"
01/07/10,"123,55",,01/07/10,"0,00",,,,01/07/10,"1,81"
01/08/10,"129,25",,01/08/10,"0,00",,,,01/08/10,"1,75"
01/09/10,"125,31",,01/09/10,"0,65",,,,01/09/10,"1,75"
01/10/10,"135,51",,01/10/10,"0,00",,,,01/10/10,"1,69"
01/11/10,"143,64",,01/11/10,"0,00",,,,01/11/10,"1,70"
01/12/10,"143,61",,01/12/10,"0,65",,,,01/12/10,"1,71"
01/01/11,"147,21",,01/01/11,"0,00",,,,01/01/11,"1,66"
01/02/11,"162,11",,01/02/11,"0,00",,,,01/02/11,"1,67"
01/03/11,"163,15",,01/03/11,"0,65",,,,01/03/11,"1,66"
01/04/11,"163,70",,01/04/11,"0,00",,,,01/04/11,"1,63"
01/05/11,"172,11",,01/05/11,"0,00",,,,01/05/11,"1,58"
01/06/11,"168,90",,01/06/11,"0,75",,,,01/06/11,"1,58"
01/07/11,"171,61",,01/07/11,"0,00",,,,01/07/11,"1,56"
01/08/11,"182,60",,01/08/11,"0,00",,,,01/08/11,"1,55"
01/09/11,"172,71",,01/09/11,"0,75",,,,01/09/11,"1,59"
01/10/11,"174,36",,01/10/11,"0,00",,,,01/10/11,"1,88"
01/11/11,"181,55",,01/11/11,"0,00",,,,01/11/11,"1,72"
01/12/11,"187,01",,01/12/11,"0,75",,,,01/12/11,"1,81"
01/01/12,"186,73",,01/01/12,"0,00",,,,01/01/12,"1,87"
01/02/12,"193,21",,01/02/12,"0,00",,,,01/02/12,"1,75"
01/03/12,"197,23",,01/03/12,"0,75",,,,01/03/12,"1,72"
01/04/12,"208,96",,01/04/12,"0,00",,,,01/04/12,"1,83"
01/05/12,"207,18",,01/05/12,"0,00",,,,01/05/12,"1,90"
01/06/12,"190,12",,01/06/12,"0,85",,,,01/06/12,"2,02"
01/07/12,"196,36",,01/07/12,"0,00",,,,01/07/12,"2,01"
01/08/12,"196,96",,01/08/12,"0,00",,,,01/08/12,"2,06"
01/09/12,"196,61",,01/09/12,"0,85",,,,01/09/12,"2,03"
01/10/12,"198,68",,01/10/12,"0,00",,,,01/10/12,"2,03"
01/11/12,"185,95",,01/11/12,"0,00",,,,01/11/12,"2,03"
01/12/12,"182,21",,01/12/12,"0,85",,,,01/12/12,"2,14"
01/01/13,"185,39",,01/01/13,"0,00",,,,01/01/13,"2,03"
01/02/13,"195,47",,01/02/13,"0,00",,,,01/02/13,"1,99"
01/03/13,"191,65",,01/03/13,"0,85",,,,01/03/13,"1,98"
01/04/13,"203,26",,01/04/13,"0,00",,,,01/04/13,"2,02"
01/05/13,"192,82",,01/05/13,"0,00",,,,01/05/13,"2,00"
01/06/13,"198,91",,01/06/13,"0,95",,,,01/06/13,"2,14"
01/07/13,"183,53",,01/07/13,"0,00",,,,01/07/13,"2,23"
01/08/13,"187,83",,01/08/13,"0,00",,,,01/08/13,"2,28"
01/09/13,"175,40",,01/09/13,"0,95",,,,01/09/13,"2,38"
01/10/13,"177,03",,01/10/13,"0,00",,,,01/10/13,"2,22"
01/11/13,"171,75",,01/11/13,"0,00",,,,01/11/13,"2,24"
01/12/13,"171,41",,01/12/13,"0,95",,,,01/12/13,"2,34"
01/01/14,"178,82",,01/01/14,"0,00",,,,01/01/14,"2,38"
01/02/14,"168,13",,01/02/14,"0,00",,,,01/02/14,"2,41"
01/03/14,"175,11",,01/03/14,"0,95",,,,01/03/14,"2,34"
01/04/14,"184,46",,01/04/14,"0,00",,,,01/04/14,"2,27"
01/05/14,"187,51",,01/05/14,"0,00",,,,01/05/14,"2,23"
01/06/14,"176,48",,01/06/14,"1,10",,,,01/06/14,"2,24"
01/07/14,"173,55",,01/07/14,"0,00",,,,01/07/14,"2,21"
01/08/14,"181,96",,01/08/14,"0,00",,,,01/08/14,"2,26"
01/09/14,"184,04",,01/09/14,"1,10",,,,01/09/14,"2,24"
01/10/14,"181,40",,01/10/14,"0,00",,,,01/10/14,"2,44"
01/11/14,"156,89",,01/11/14,"0,00",,,,01/11/14,"2,48"
01/12/14,"154,39",,01/12/14,"1,10",,,,01/12/14,"2,57"
01/01/15,"154,08",,01/01/15,"0,00",,,,01/01/15,"2,66"
01/02/15,"147,10",,01/02/15,"0,00",,,,01/02/15,"2,68"
01/03/15,"154,43",,01/03/15,"1,10",,,,01/03/15,"2,84"
01/04/15,"153,05",,01/04/15,"0,00",,,,01/04/15,"3,19"
01/05/15,"165,43",,01/05/15,"0,00",,,,01/05/15,"3,01"
01/06/15,"162,58",,01/06/15,"1,30",,,,01/06/15,"3,18"
01/07/15,"156,62",,01/07/15,"0,00",,,,01/07/15,"3,10"
01/08/15,"154,45",,01/08/15,"0,00",,,,01/08/15,"3,42"
01/09/15,"138,41",,01/09/15,"1,30",,,,01/09/15,"3,62"
01/10/15,"138,79",,01/10/15,"0,00",,,,01/10/15,"3,95"
01/11/15,"134,20",,01/11/15,"0,00",,,,01/11/15,"3,86"
01/12/15,"133,32",,01/12/15,"1,30",,,,01/12/15,"3,87"
01/01/16,"129,52",,01/01/16,"0,00",,,,01/01/16,"3,96"
01/02/16,"118,82",,01/02/16,"0,00",,,,01/02/16,"4,00"
01/03/16,"126,31",,01/03/16,"1,30",,,,01/03/16,"4,02"
01/04/16,"143,76",,01/04/16,"0,00",,,,01/04/16,"3,59"
01/05/16,"139,99",,01/05/16,"0,00",,,,01/05/16,"3,44"
01/06/16,"146,14",,01/06/16,"1,40",,,,01/06/16,"3,61"
01/07/16,"145,37",,01/07/16,"0,00",,,,01/07/16,"3,21"
01/08/16,"153,45",,01/08/16,"0,00",,,,01/08/16,"3,25"
01/09/16,"151,22",,01/09/16,"1,40",,,,01/09/16,"3,23"
01/10/16,"150,97",,01/10/16,"0,00",,,,01/10/16,"3,26"
01/11/16,"146,62",,01/11/16,"0,00",,,,01/11/16,"3,19"
01/12/16,"154,69",,01/12/16,"1,40",,,,01/12/16,"3,39"
01/01/17,"159,51",,01/01/17,"0,00",,,,01/01/17,"3,25"
01/02/17,"167,15",,01/02/17,"0,00",,,,01/02/17,"3,15"
01/03/17,"172,39",,01/03/17,"1,40",,,,01/03/17,"3,11"
01/04/17,"166,03",,01/04/17,"0,00",,,,01/04/17,"3,12"
01/05/17,"152,87",,01/05/17,"0,00",,,,01/05/17,"3,18"
01/06/17,"145,95",,01/06/17,"1,50",,,,01/06/17,"3,23"
01/07/17,"146,69",,01/07/17,"0,00",,,,01/07/17,"3,32"
01/08/17,"138,50",,01/08/17,"0,00",,,,01/08/17,"3,13"
01/09/17,"136,57",,01/09/17,"1,50",,,,01/09/17,"3,15"
01/10/17,"138,83",,01/10/17,"0,00",,,,01/10/17,"3,16"
01/11/17,"147,19",,01/11/17,"0,00",,,,01/11/17,"3,27"
01/12/17,"147,48",,01/12/17,"1,50",,,,01/12/17,"3,27"
01/01/18,"147,57",,01/01/18,"0,00",,,,01/01/18,"3,31"
01/02/18,"155,87",,01/02/18,"0,00",,,,01/02/18,"3,19"
01/03/18,"148,56",,01/03/18,"1,50",,,,01/03/18,"3,25"
01/04/18,"146,46",,01/04/18,"0,00",,,,01/04/18,"3,31"
01/05/18,"138,16",,01/05/18,"0,00",,,,01/05/18,"3,51"
01/06/18,"136,04",,01/06/18,"1,57",,,,01/06/18,"3,73"
01/07/18,"132,08",,01/07/18,"0,00",,,,01/07/18,"3,88"
01/08/18,"138,27",,01/08/18,"0,00",,,,01/08/18,"3,76"
01/09/18,"139,43",,01/09/18,"1,57",,,,01/09/18,"4,09"
01/10/18,"144,91",,01/10/18,"0,00",,,,01/10/18,"4,05"
01/11/18,"110,32",,01/11/18,"0,00",,,,01/11/18,"3,72"
01/12/18,"120,04",,01/12/18,"1,57",,,,01/12/18,"3,87"
01/01/19,"106,99",,01/01/19,"0,00",,,,01/01/19,"3,88"
01/02/19,"128,92",,01/02/19,"0,00",,,,01/02/19,"3,65"
01/03/19,"133,06",,01/03/19,"1,57",,,,01/03/19,"3,75"
01/04/19,"135,17",,01/04/19,"0,00",,,,01/04/19,"3,89"
01/05/19,"134,25",,01/05/19,"0,00",,,,01/05/19,"3,92"
01/06/19,"121,40",,01/06/19,"1,62",,,,01/06/19,"3,92"
01/07/19,"133,34",,01/07/19,"0,00",,,,01/07/19,"3,84"
01/08/19,"142,22",,01/08/19,"0,00",,,,01/08/19,"3,82"
01/09/19,"128,80",,01/09/19,"1,62",,,,01/09/19,"4,14"
01/10/19,"139,06",,01/10/19,"0,00",,,,01/10/19,"4,16"
01/11/19,"128,47",,01/11/19,"0,00",,,,01/11/19,"4,02"
01/12/19,"128,42",,01/12/19,"1,62",,,,01/12/19,"4,24"
01/01/20,"128,95",,01/01/20,"0,00",,,,01/01/20,"4,02"
01/02/20,"137,78",,01/02/20,"0,00",,,,01/02/20,"4,28"
01/03/20,"124,89",,01/03/20,"1,62",,,,01/03/20,"4,50"
01/04/20,"101,59",,01/04/20,"0,00",,,,01/04/20,"5,23"
01/05/20,"117,67",,01/05/20,"0,00",,,,01/05/20,"5,49"
01/06/20,"119,05",,01/06/20,"1,63",,,,01/06/20,"5,33"
01/07/20,"114,88",,01/07/20,"0,00",,,,01/07/20,"5,47"
01/08/20,"117,96",,01/08/20,"0,00",,,,01/08/20,"5,22"
01/09/20,"117,34",,01/09/20,"1,63",,,,01/09/20,"5,49"
01/10/20,"116,87",,01/10/20,"0,00",,,,01/10/20,"5,61"
01/11/20,"107,60",,01/11/20,"0,00",,,,01/11/20,"5,74"
01/12/20,"118,34",,01/12/20,"1,63",,,,01/12/20,"5,31"
01/01/21,"120,21",,01/01/21,"0,00",,,,01/01/21,"5,13"
01/02/21,"114,52",,01/02/21,"0,00",,,,01/02/21,"5,47"
01/03/21,"114,95",,01/03/21,"1,63",,,,01/03/21,"5,59"
01/04/21,"127,76",,01/04/21,"0,00",,,,01/04/21,"5,63"
01/05/21,"137,36",,01/05/21,"0,00",,,,01/05/21,"5,44"
01/06/21,"138,50",,01/06/21,"1,64",,,,01/06/21,"5,22"
01/07/21,"140,37",,01/07/21,"0,00",,,,01/07/21,"4,97"
01/08/21,"135,11",,01/08/21,"0,00",,,,01/08/21,"5,22"
01/09/21,"133,70",,01/09/21,"1,64",,,,01/09/21,"5,17"
01/10/21,"134,68",,01/10/21,"0,00",,,,01/10/21,"5,44"
01/11/21,"119,44",,01/11/21,"0,00",,,,01/11/21,"5,62"
01/12/21,"118,25",,01/12/21,"1,64",,,,01/12/21,"5,62"
01/01/22,"134,07",,01/01/22,"0,00",,,,01/01/22,"5,57"
01/02/22,"133,76",,01/02/22,"0,00",,,,01/02/22,"5,30"
01/03/22,"122,67",,01/03/22,"1,64",,,,01/03/22,"5,16"
01/04/22,"129,66",,01/04/22,"0,00",,,,01/04/22,"4,74"
01/05/22,"133,00",,01/05/22,"0,00",,,,01/05/22,"4,97"
01/06/22,"139,67",,01/06/22,"1,65",,,,01/06/22,"4,73"
01/07/22,"141,00",,01/07/22,"0,00",,,,01/07/22,"5,26"
01/08/22,"130,75",,01/08/22,"0,00",,,,01/08/22,"5,18"
01/09/22,"128,40",,01/09/22,"1,65",,,,01/09/22,"5,18"
01/10/22,"120,16",,01/10/22,"0,00",,,,01/10/22,"5,42"
01/11/22,"138,25",,01/11/22,"0,00",,,,01/11/22,"5,18"
01/12/22,"149,98",,01/12/22,"1,65",,,,01/12/22,"5,19"
01/01/23,"141,10",,01/01/23,"0,00",,,,01/01/23,"5,29"
